geo_type,region,transportation_type,alternative_name,sub-region,country,date,relative_mobility
city,Albuquerque,driving,NA,New Mexico,United States,2021-01-06,97.11
city,Albuquerque,driving,NA,New Mexico,United States,2021-01-07,98.95
city,Albuquerque,driving,NA,New Mexico,United States,2021-01-08,113.07
city,Albuquerque,driving,NA,New Mexico,United States,2021-01-09,101.73
city,Albuquerque,driving,NA,New Mexico,United States,2021-01-10,80.4
city,Albuquerque,driving,NA,New Mexico,United States,2021-01-11,95.51
city,Albuquerque,driving,NA,New Mexico,United States,2021-01-12,96.59
city,Albuquerque,driving,NA,New Mexico,United States,2021-01-13,98.02
city,Albuquerque,driving,NA,New Mexico,United States,2021-01-14,99.27
city,Albuquerque,driving,NA,New Mexico,United States,2021-01-15,116.38
city,Albuquerque,driving,NA,New Mexico,United States,2021-01-16,106.94
city,Albuquerque,driving,NA,New Mexico,United States,2021-01-17,83.78
city,Albuquerque,driving,NA,New Mexico,United States,2021-01-18,94.74
city,Albuquerque,driving,NA,New Mexico,United States,2021-01-19,89.83
city,Albuquerque,driving,NA,New Mexico,United States,2021-01-20,90.78
city,Albuquerque,driving,NA,New Mexico,United States,2021-01-21,96.26
city,Albuquerque,driving,NA,New Mexico,United States,2021-01-22,112.54
city,Albuquerque,driving,NA,New Mexico,United States,2021-01-23,106
city,Albuquerque,driving,NA,New Mexico,United States,2021-01-24,77.56
city,Albuquerque,driving,NA,New Mexico,United States,2021-01-25,91.85
city,Albuquerque,driving,NA,New Mexico,United States,2021-01-26,89.79
city,Albuquerque,driving,NA,New Mexico,United States,2021-01-27,97.59
city,Albuquerque,driving,NA,New Mexico,United States,2021-01-28,99.02
city,Albuquerque,driving,NA,New Mexico,United States,2021-01-29,112.91
city,Albuquerque,driving,NA,New Mexico,United States,2021-01-30,108.22
city,Albuquerque,driving,NA,New Mexico,United States,2021-01-31,84.13
city,Albuquerque,driving,NA,New Mexico,United States,2021-02-01,98.17
city,Albuquerque,driving,NA,New Mexico,United States,2021-02-02,98.36
city,Albuquerque,driving,NA,New Mexico,United States,2021-02-03,99.17
city,Albuquerque,driving,NA,New Mexico,United States,2021-02-04,100.49
city,Albuquerque,driving,NA,New Mexico,United States,2021-02-05,117.1
city,Albuquerque,driving,NA,New Mexico,United States,2021-02-06,112.6
city,Albuquerque,driving,NA,New Mexico,United States,2021-02-07,77.95
city,Albuquerque,driving,NA,New Mexico,United States,2021-02-08,95.98
city,Albuquerque,driving,NA,New Mexico,United States,2021-02-09,98.54
city,Albuquerque,driving,NA,New Mexico,United States,2021-02-10,101.56
city,Albuquerque,driving,NA,New Mexico,United States,2021-02-11,109.2
