geo_type,region,transportation_type,alternative_name,sub-region,country,date,relative_mobility
city,Honolulu,driving,NA,Hawaii,United States,2020-09-03,63.58
city,Honolulu,driving,NA,Hawaii,United States,2020-09-04,71.21
city,Honolulu,driving,NA,Hawaii,United States,2020-09-05,65.61
city,Honolulu,driving,NA,Hawaii,United States,2020-09-06,52.04
city,Honolulu,driving,NA,Hawaii,United States,2020-09-07,50.26
city,Honolulu,driving,NA,Hawaii,United States,2020-09-08,58.97
city,Honolulu,driving,NA,Hawaii,United States,2020-09-09,59.89
city,Honolulu,driving,NA,Hawaii,United States,2020-09-10,62.1
city,Honolulu,driving,NA,Hawaii,United States,2020-09-11,70.1
city,Honolulu,driving,NA,Hawaii,United States,2020-09-12,68.17
city,Honolulu,driving,NA,Hawaii,United States,2020-09-13,52.13
city,Honolulu,driving,NA,Hawaii,United States,2020-09-14,59.75
city,Honolulu,driving,NA,Hawaii,United States,2020-09-15,61.82
city,Honolulu,driving,NA,Hawaii,United States,2020-09-16,62.53
city,Honolulu,driving,NA,Hawaii,United States,2020-09-17,62.76
city,Honolulu,driving,NA,Hawaii,United States,2020-09-18,71.15
city,Honolulu,driving,NA,Hawaii,United States,2020-09-19,66.51
city,Honolulu,driving,NA,Hawaii,United States,2020-09-20,50.27
city,Honolulu,driving,NA,Hawaii,United States,2020-09-21,56.88
city,Honolulu,driving,NA,Hawaii,United States,2020-09-22,57.86
city,Honolulu,driving,NA,Hawaii,United States,2020-09-23,58.38
city,Honolulu,driving,NA,Hawaii,United States,2020-09-24,63.6
city,Honolulu,driving,NA,Hawaii,United States,2020-09-25,72.12
city,Honolulu,driving,NA,Hawaii,United States,2020-09-26,70.78
city,Honolulu,driving,NA,Hawaii,United States,2020-09-27,54.33
city,Honolulu,driving,NA,Hawaii,United States,2020-09-28,60.77
city,Honolulu,driving,NA,Hawaii,United States,2020-09-29,61.57
city,Honolulu,driving,NA,Hawaii,United States,2020-09-30,66.58
city,Honolulu,driving,NA,Hawaii,United States,2020-10-01,65.18
city,Honolulu,driving,NA,Hawaii,United States,2020-10-02,75.64
city,Honolulu,driving,NA,Hawaii,United States,2020-10-03,73.81
city,Honolulu,driving,NA,Hawaii,United States,2020-10-04,56.06
city,Honolulu,driving,NA,Hawaii,United States,2020-10-05,64.22
city,Honolulu,driving,NA,Hawaii,United States,2020-10-06,64.14
