geo_type,region,transportation_type,alternative_name,sub-region,country,date,mobility percentage
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-11-24,137.85
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-11-25,134.49
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-11-26,76.74
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-11-27,119.63
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-11-28,121.53
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-11-29,98.07
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-11-30,130.55
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-12-01,128.05
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-12-02,128.46
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-12-03,140.83
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-12-04,153.21
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-12-05,155.59
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-12-06,113.95
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-12-07,124.24
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-12-08,127.13
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-12-09,135.1
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-12-10,143.65
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-12-11,162.48
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-12-12,162.59
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-12-13,116.72
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-12-14,139.26
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-12-15,130.55
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-12-16,133.13
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-12-17,149.57
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-12-18,163.4
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-12-19,150.89
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-12-20,119.92
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-12-21,155.35
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-12-22,152.56
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-12-23,150.08
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-12-24,120.55
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-12-25,63.37
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-12-26,116.79
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-12-27,107.22
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-12-28,128.91
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-12-29,151.25
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-12-30,145.04
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2020-12-31,178.68
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-01-01,117.98
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-01-02,139.4
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-01-03,107.36
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-01-04,133.34
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-01-05,132.86
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-01-06,127.47
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-01-07,125.26
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-01-08,149.76
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-01-09,148.78
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-01-10,107.93
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-01-11,120.85
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-01-12,131.75
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-01-13,129.33
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-01-14,132.02
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-01-15,150.41
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-01-16,160.76
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-01-17,123.45
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-01-18,132.91
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-01-19,122.84
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-01-20,127.82
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-01-21,124.14
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-01-22,143.5
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-01-23,149.54
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-01-24,112.36
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-01-25,127.11
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-01-26,127.87
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-01-27,130.89
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-01-28,128.1
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-01-29,150.95
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-01-30,160.41
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-01-31,113.19
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-02-01,122.14
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-02-02,126.2
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-02-03,126.49
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-02-04,136.99
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-02-05,159.53
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-02-06,151.7
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-02-07,101.74
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-02-08,121.59
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-02-09,129.62
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-02-10,126.84
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-02-11,134.89
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-02-12,171.28
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-02-13,181.32
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-02-14,130.84
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-02-15,122.49
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-02-16,132.1
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-02-17,129.05
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-02-18,135.33
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-02-19,153.57
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-02-20,157.7
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-02-21,119.77
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-02-22,123.97
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-02-23,133.66
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-02-24,135.17
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-02-25,141.81
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-02-26,167.14
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-02-27,159.14
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-02-28,126.53
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-03-01,136.4
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-03-02,138.53
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-03-03,147.05
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-03-04,141.98
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-03-05,169.35
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-03-06,177.18
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-03-07,143.31
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-03-08,146.56
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-03-09,147.23
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-03-10,145.47
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-03-11,144.4
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-03-12,NA
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-03-13,179.52
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-03-14,140.44
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-03-15,137.69
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-03-16,144.01
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-03-17,153.46
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-03-18,165.16
county,Matanuska-Susitna Borough,driving,NA,Alaska,United States,2021-03-19,188.05
